,time,category,field,value,score
328,2025-03-16 03:00:00+00:00,Air quality,Relative humidity (R.H.) (%),53.36986531986531,83.0
330,2025-03-16 03:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
331,2025-03-16 03:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),68.67592592592594,40.0
332,2025-03-16 03:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),57.42592592592593,10.0
334,2025-03-16 03:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
335,2025-03-16 03:00:00+00:00,Thermal comfort,Temperature (°C),19.425063583164977,100.0
336,2025-03-16 04:00:00+00:00,Acoustics,Sound pressure (dB(A)),41.75,0.1
337,2025-03-16 04:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
339,2025-03-16 04:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1760.0666666666666,19.0
340,2025-03-16 04:00:00+00:00,Air quality,Relative humidity (R.H.) (%),53.51166666666667,82.0
342,2025-03-16 04:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
343,2025-03-16 04:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),216.56666666666666,0.1
344,2025-03-16 04:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),164.93333333333334,0.1
346,2025-03-16 04:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
347,2025-03-16 04:00:00+00:00,Thermal comfort,Temperature (°C),19.125231933333332,100.0
348,2025-03-16 05:00:00+00:00,Acoustics,Sound pressure (dB(A)),42.90909090909091,0.1
349,2025-03-16 05:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
351,2025-03-16 05:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1497.3939393939395,41.0
352,2025-03-16 05:00:00+00:00,Air quality,Relative humidity (R.H.) (%),52.9730303030303,85.0
354,2025-03-16 05:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
355,2025-03-16 05:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),165.78333333333333,0.1
356,2025-03-16 05:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),125.93333333333334,0.1
358,2025-03-16 05:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
359,2025-03-16 05:00:00+00:00,Thermal comfort,Temperature (°C),18.852201630303036,100.0
360,2025-03-16 06:00:00+00:00,Acoustics,Sound pressure (dB(A)),41.25,0.1
361,2025-03-16 06:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
363,2025-03-16 06:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1243.1333333333334,63.0
364,2025-03-16 06:00:00+00:00,Air quality,Relative humidity (R.H.) (%),52.47749999999998,87.0
366,2025-03-16 06:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
367,2025-03-16 06:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),142.84999999999997,0.1
368,2025-03-16 06:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),112.82499999999999,0.1
370,2025-03-16 06:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
371,2025-03-16 06:00:00+00:00,Thermal comfort,Temperature (°C),18.651065266666674,100.0
372,2025-03-16 07:00:00+00:00,Acoustics,Sound pressure (dB(A)),44.333333333333336,0.1
373,2025-03-16 07:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
375,2025-03-16 07:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1003.8583333333332,83.0
376,2025-03-16 07:00:00+00:00,Air quality,Relative humidity (R.H.) (%),51.450833333333335,91.0
378,2025-03-16 07:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
379,2025-03-16 07:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),181.28333333333336,0.1
380,2025-03-16 07:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),143.95833333333331,0.1
382,2025-03-16 07:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
383,2025-03-16 07:00:00+00:00,Thermal comfort,Temperature (°C),18.476898600000006,100.0
384,2025-03-16 08:00:00+00:00,Acoustics,Sound pressure (dB(A)),45.0,0.1
385,2025-03-16 08:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
387,2025-03-16 08:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1741.5666666666666,21.0
388,2025-03-16 08:00:00+00:00,Air quality,Relative humidity (R.H.) (%),57.97916666666667,60.0
390,2025-03-16 08:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
391,2025-03-16 08:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),110.99166666666666,14.0
392,2025-03-16 08:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),93.57499999999999,0.1
394,2025-03-16 08:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
395,2025-03-16 08:00:00+00:00,Thermal comfort,Temperature (°C),18.47023193333333,100.0
396,2025-03-16 09:00:00+00:00,Acoustics,Sound pressure (dB(A)),49.66666666666666,0.1
397,2025-03-16 09:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.2865848670756646,100.0
399,2025-03-16 09:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1796.925,16.0
400,2025-03-16 09:00:00+00:00,Air quality,Relative humidity (R.H.) (%),59.192499999999995,54.0
402,2025-03-16 09:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
403,2025-03-16 09:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),118.80833333333331,26.0
404,2025-03-16 09:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),85.55000000000001,0.1
406,2025-03-16 09:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
407,2025-03-16 09:00:00+00:00,Thermal comfort,Temperature (°C),18.546065266666666,100.0
408,2025-03-16 10:00:00+00:00,Acoustics,Sound pressure (dB(A)),50.41666666666666,0.1
409,2025-03-16 10:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
411,2025-03-16 10:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),570.125,100.0
412,2025-03-16 10:00:00+00:00,Air quality,Relative humidity (R.H.) (%),50.959166666666654,90.0
414,2025-03-16 10:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
415,2025-03-16 10:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),27.875,72.0
416,2025-03-16 10:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),19.98333333333333,46.0
418,2025-03-16 10:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
419,2025-03-16 10:00:00+00:00,Thermal comfort,Temperature (°C),18.22523193333332,100.0
420,2025-03-16 11:00:00+00:00,Acoustics,Sound pressure (dB(A)),70.33333333333333,0.1
421,2025-03-16 11:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
423,2025-03-16 11:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1258.3166666666666,61.0
424,2025-03-16 11:00:00+00:00,Air quality,Relative humidity (R.H.) (%),52.03749999999998,89.0
426,2025-03-16 11:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
427,2025-03-16 11:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),41.55833333333333,50.0
428,2025-03-16 11:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),26.51666666666667,45.0
430,2025-03-16 11:00:00+00:00,Lighting,Illuminance (% above/below thresholds),1.6666666666666667,0.1
431,2025-03-16 11:00:00+00:00,Thermal comfort,Temperature (°C),18.884398599999997,100.0
432,2025-03-16 12:00:00+00:00,Acoustics,Sound pressure (dB(A)),58.0,0.1
433,2025-03-16 12:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
435,2025-03-16 12:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),2522.7916666666665,0.1
436,2025-03-16 12:00:00+00:00,Air quality,Relative humidity (R.H.) (%),54.52583333333334,77.0
438,2025-03-16 12:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
439,2025-03-16 12:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),67.425,36.0
440,2025-03-16 12:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),61.08333333333332,4.0
442,2025-03-16 12:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
443,2025-03-16 12:00:00+00:00,Thermal comfort,Temperature (°C),20.14856526666668,100.0
444,2025-03-16 13:00:00+00:00,Acoustics,Sound pressure (dB(A)),57.0,0.1
445,2025-03-16 13:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
447,2025-03-16 13:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),3768.4666666666667,0.1
448,2025-03-16 13:00:00+00:00,Air quality,Relative humidity (R.H.) (%),56.32583333333333,68.0
450,2025-03-16 13:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
451,2025-03-16 13:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),55.54166666666667,42.0
452,2025-03-16 13:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),51.375,14.0
454,2025-03-16 13:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
455,2025-03-16 13:00:00+00:00,Thermal comfort,Temperature (°C),21.02106526666666,87.0
456,2025-03-16 14:00:00+00:00,Acoustics,Sound pressure (dB(A)),63.833333333333336,0.1
457,2025-03-16 14:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),2.1903271983640087,100.0
459,2025-03-16 14:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),4697.25,0.1
460,2025-03-16 14:00:00+00:00,Air quality,Relative humidity (R.H.) (%),58.93166666666667,55.0
462,2025-03-16 14:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
463,2025-03-16 14:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),159.37499999999997,0.1
464,2025-03-16 14:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),128.675,0.1
466,2025-03-16 14:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
467,2025-03-16 14:00:00+00:00,Thermal comfort,Temperature (°C),21.64023193333333,57.0
468,2025-03-16 15:00:00+00:00,Acoustics,Sound pressure (dB(A)),56.5,0.1
469,2025-03-16 15:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),4.401124744376278,100.0
471,2025-03-16 15:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),4882.625,0.1
472,2025-03-16 15:00:00+00:00,Air quality,Relative humidity (R.H.) (%),60.920000000000016,45.0
474,2025-03-16 15:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
475,2025-03-16 15:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),149.0333333333333,0.1
476,2025-03-16 15:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),124.7,0.1
478,2025-03-16 15:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
479,2025-03-16 15:00:00+00:00,Thermal comfort,Temperature (°C),22.125231933333346,33.0
480,2025-03-16 16:00:00+00:00,Acoustics,Sound pressure (dB(A)),57.0,0.1
481,2025-03-16 16:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),2.128916155419223,100.0
483,2025-03-16 16:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),5271.583333333334,0.1
484,2025-03-16 16:00:00+00:00,Air quality,Relative humidity (R.H.) (%),61.38750000000002,43.0
486,2025-03-16 16:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
487,2025-03-16 16:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),118.64999999999998,17.0
488,2025-03-16 16:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),105.64999999999999,0.1
490,2025-03-16 16:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
491,2025-03-16 16:00:00+00:00,Thermal comfort,Temperature (°C),22.491898599999995,19.0
492,2025-03-16 17:00:00+00:00,Acoustics,Sound pressure (dB(A)),55.66666666666666,0.1
493,2025-03-16 17:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),11.668098159509205,98.0
495,2025-03-16 17:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),2721.333333333333,0.1
496,2025-03-16 17:00:00+00:00,Air quality,Relative humidity (R.H.) (%),56.58,67.0
498,2025-03-16 17:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
499,2025-03-16 17:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),46.58333333333333,45.0
500,2025-03-16 17:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),42.3,17.0
502,2025-03-16 17:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
503,2025-03-16 17:00:00+00:00,Thermal comfort,Temperature (°C),21.921065266666663,43.0
504,2025-03-16 18:00:00+00:00,Acoustics,Sound pressure (dB(A)),59.5,0.1
505,2025-03-16 18:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
507,2025-03-16 18:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),477.15,100.0
508,2025-03-16 18:00:00+00:00,Air quality,Relative humidity (R.H.) (%),53.30916666666665,83.0
510,2025-03-16 18:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
511,2025-03-16 18:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),5.033333333333333,100.0
512,2025-03-16 18:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),4.366666666666666,94.0
514,2025-03-16 18:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
515,2025-03-16 18:00:00+00:00,Thermal comfort,Temperature (°C),20.36773193333334,100.0
516,2025-03-16 19:00:00+00:00,Acoustics,Sound pressure (dB(A)),71.91666666666667,0.1
517,2025-03-16 19:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
519,2025-03-16 19:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),587.3416666666667,100.0
520,2025-03-16 19:00:00+00:00,Air quality,Relative humidity (R.H.) (%),53.1725,84.0
522,2025-03-16 19:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
523,2025-03-16 19:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),16.358333333333334,89.0
524,2025-03-16 19:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),13.358333333333334,66.0
526,2025-03-16 19:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
527,2025-03-16 19:00:00+00:00,Thermal comfort,Temperature (°C),19.723565266666668,100.0
528,2025-03-16 20:00:00+00:00,Acoustics,Sound pressure (dB(A)),64.16666666666667,0.1
529,2025-03-16 20:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1432924335378322,100.0
531,2025-03-16 20:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),2093.3999999999996,3.0
532,2025-03-16 20:00:00+00:00,Air quality,Relative humidity (R.H.) (%),56.56333333333333,67.0
534,2025-03-16 20:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
535,2025-03-16 20:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),45.575,47.0
536,2025-03-16 20:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),44.40833333333333,21.0
538,2025-03-16 20:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
539,2025-03-16 20:00:00+00:00,Thermal comfort,Temperature (°C),20.77606526666666,98.0
540,2025-03-16 21:00:00+00:00,Acoustics,Sound pressure (dB(A)),56.16666666666666,0.1
541,2025-03-16 21:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.0614110429447852,100.0
543,2025-03-16 21:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),3724.5333333333333,0.1
544,2025-03-16 21:00:00+00:00,Air quality,Relative humidity (R.H.) (%),59.31333333333333,53.0
546,2025-03-16 21:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
547,2025-03-16 21:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),75.96666666666667,38.0
548,2025-03-16 21:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),68.29999999999998,7.0
550,2025-03-16 21:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
551,2025-03-16 21:00:00+00:00,Thermal comfort,Temperature (°C),21.706065266666666,54.0
552,2025-03-16 22:00:00+00:00,Acoustics,Sound pressure (dB(A)),61.333333333333336,0.1
553,2025-03-16 22:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),8.351901840490799,100.0
555,2025-03-16 22:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),4711.991666666667,0.1
556,2025-03-16 22:00:00+00:00,Air quality,Relative humidity (R.H.) (%),63.19500000000002,34.0
558,2025-03-16 22:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
559,2025-03-16 22:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),114.94999999999997,25.0
560,2025-03-16 22:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),93.69999999999999,0.1
562,2025-03-16 22:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
563,2025-03-16 22:00:00+00:00,Thermal comfort,Temperature (°C),22.296065266666652,25.0
564,2025-03-16 23:00:00+00:00,Acoustics,Sound pressure (dB(A)),53.66666666666666,0.1
565,2025-03-16 23:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),7.512617586912065,100.0
567,2025-03-16 23:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),4872.966666666667,0.1
568,2025-03-16 23:00:00+00:00,Air quality,Relative humidity (R.H.) (%),62.84,35.0
570,2025-03-16 23:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
571,2025-03-16 23:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),104.56666666666666,31.0
572,2025-03-16 23:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),88.73333333333333,0.1
574,2025-03-16 23:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
575,2025-03-16 23:00:00+00:00,Thermal comfort,Temperature (°C),22.186898600000006,30.0
576,2025-03-17 00:00:00+00:00,Acoustics,Sound pressure (dB(A)),46.25,0.1
577,2025-03-17 00:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),5.690756646216769,100.0
579,2025-03-17 00:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),4165.4,0.1
580,2025-03-17 00:00:00+00:00,Air quality,Relative humidity (R.H.) (%),61.01083333333332,44.0
582,2025-03-17 00:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
583,2025-03-17 00:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),77.075,37.0
584,2025-03-17 00:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),69.325,6.0
586,2025-03-17 00:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
587,2025-03-17 00:00:00+00:00,Thermal comfort,Temperature (°C),21.13963046666666,83.0
588,2025-03-17 01:00:00+00:00,Acoustics,Sound pressure (dB(A)),44.583333333333336,0.1
589,2025-03-17 01:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),3.582310838445808,100.0
591,2025-03-17 01:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),3328.4416666666666,0.1
592,2025-03-17 01:00:00+00:00,Air quality,Relative humidity (R.H.) (%),60.00999999999999,49.0
594,2025-03-17 01:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
595,2025-03-17 01:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),61.19999999999999,42.0
596,2025-03-17 01:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),56.199999999999996,13.0
598,2025-03-17 01:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
599,2025-03-17 01:00:00+00:00,Thermal comfort,Temperature (°C),20.38713046666666,100.0
600,2025-03-17 02:00:00+00:00,Acoustics,Sound pressure (dB(A)),45.833333333333336,0.1
601,2025-03-17 02:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),2.128916155419223,100.0
603,2025-03-17 02:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),2610.508333333333,0.1
604,2025-03-17 02:00:00+00:00,Air quality,Relative humidity (R.H.) (%),58.90249999999999,55.0
606,2025-03-17 02:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
607,2025-03-17 02:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),48.725,47.0
608,2025-03-17 02:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),42.291666666666664,21.0
610,2025-03-17 02:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
611,2025-03-17 02:00:00+00:00,Thermal comfort,Temperature (°C),19.875463799999995,100.0
612,2025-03-17 03:00:00+00:00,Acoustics,Sound pressure (dB(A)),43.833333333333336,0.1
613,2025-03-17 03:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.3204054414510536,100.0
615,2025-03-17 03:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1993.5942028985505,5.0
616,2025-03-17 03:00:00+00:00,Air quality,Relative humidity (R.H.) (%),57.6768115942029,61.0
618,2025-03-17 03:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
619,2025-03-17 03:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),32.789855072463766,65.0
620,2025-03-17 03:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),27.945652173913043,34.0
622,2025-03-17 03:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
623,2025-03-17 03:00:00+00:00,Thermal comfort,Temperature (°C),19.483144959420283,100.0
624,2025-03-17 04:00:00+00:00,Acoustics,Sound pressure (dB(A)),46.583333333333336,0.1
625,2025-03-17 04:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.0272937968643489,100.0
627,2025-03-17 04:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1655.0166666666667,28.0
628,2025-03-17 04:00:00+00:00,Air quality,Relative humidity (R.H.) (%),57.500555555555565,62.0
630,2025-03-17 04:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
631,2025-03-17 04:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),24.138888888888886,78.0
632,2025-03-17 04:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),22.555555555555557,44.0
634,2025-03-17 04:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
635,2025-03-17 04:00:00+00:00,Thermal comfort,Temperature (°C),19.12074157777778,100.0
636,2025-03-17 05:00:00+00:00,Acoustics,Sound pressure (dB(A)),44.0,0.1
637,2025-03-17 05:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),2.149386503067485,100.0
639,2025-03-17 05:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1766.725,19.0
640,2025-03-17 05:00:00+00:00,Air quality,Relative humidity (R.H.) (%),59.16333333333334,54.0
642,2025-03-17 05:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
643,2025-03-17 05:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),28.075,70.0
644,2025-03-17 05:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),21.88333333333333,46.0
646,2025-03-17 05:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
647,2025-03-17 05:00:00+00:00,Thermal comfort,Temperature (°C),19.114630466666664,100.0
648,2025-03-17 06:00:00+00:00,Acoustics,Sound pressure (dB(A)),40.41666666666666,0.1
649,2025-03-17 06:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
651,2025-03-17 06:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),531.2583333333333,100.0
652,2025-03-17 06:00:00+00:00,Air quality,Relative humidity (R.H.) (%),52.26833333333335,88.0
654,2025-03-17 06:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
655,2025-03-17 06:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),4.716666666666667,100.0
656,2025-03-17 06:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),3.3833333333333337,98.0
658,2025-03-17 06:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
659,2025-03-17 06:00:00+00:00,Thermal comfort,Temperature (°C),18.69546379999999,100.0
660,2025-03-17 07:00:00+00:00,Acoustics,Sound pressure (dB(A)),44.91666666666666,0.1
661,2025-03-17 07:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1,100.0
663,2025-03-17 07:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),444.025,100.0
664,2025-03-17 07:00:00+00:00,Air quality,Relative humidity (R.H.) (%),52.14083333333333,89.0
666,2025-03-17 07:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
667,2025-03-17 07:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),2.4749999999999996,100.0
668,2025-03-17 07:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),2.4749999999999996,100.0
670,2025-03-17 07:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
