,time,category,field,value,score
68,2025-03-15 05:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),35.78333333333333,23.0
70,2025-03-15 05:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
71,2025-03-15 05:00:00+00:00,Thermal comfort,Temperature (°C),18.636483433333336,100.0
72,2025-03-15 06:00:00+00:00,Acoustics,Sound pressure (dB(A)),40.66666666666666,0.1
73,2025-03-15 06:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),12.928640619954797,96.0
75,2025-03-15 06:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1010.7089314194577,82.0
76,2025-03-15 06:00:00+00:00,Air quality,Relative humidity (R.H.) (%),56.448963317384376,67.0
78,2025-03-15 06:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
79,2025-03-15 06:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),39.14912280701754,53.0
80,2025-03-15 06:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),28.88157894736842,34.0
82,2025-03-15 06:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
83,2025-03-15 06:00:00+00:00,Thermal comfort,Temperature (°C),18.41180241259968,100.0
84,2025-03-15 07:00:00+00:00,Acoustics,Sound pressure (dB(A)),43.25,0.1
85,2025-03-15 07:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),8.72287467134093,100.0
87,2025-03-15 07:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1292.9353741496598,58.0
88,2025-03-15 07:00:00+00:00,Air quality,Relative humidity (R.H.) (%),62.460034013605444,37.0
90,2025-03-15 07:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
91,2025-03-15 07:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),75.80272108843539,34.0
92,2025-03-15 07:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),66.90306122448979,2.0
94,2025-03-15 07:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,100.0
95,2025-03-15 07:00:00+00:00,Thermal comfort,Temperature (°C),18.330446018367354,100.0
96,2025-03-15 08:00:00+00:00,Acoustics,Sound pressure (dB(A)),41.5,35.0
97,2025-03-15 08:00:00+00:00,Air quality,Formaldehyde (CH_{2}O) (µg/m^{3}),5.753245075879884,100.0
99,2025-03-15 08:00:00+00:00,Air quality,Carbon dioxide (CO_{2}) (ppm),1203.6995614035086,66.0
100,2025-03-15 08:00:00+00:00,Air quality,Relative humidity (R.H.) (%),63.54692982456142,32.0
102,2025-03-15 08:00:00+00:00,Air quality,Ozone (O_{3}) (µg/m^{3}),0.1,100.0
103,2025-03-15 08:00:00+00:00,Air quality,Coarse particulate matter (PM_{10}) (µg/m^{3}),51.96052631578947,42.0
104,2025-03-15 08:00:00+00:00,Air quality,Fine particulate matter (PM_{2.5}) (µg/m^{3}),47.75,14.0
106,2025-03-15 08:00:00+00:00,Lighting,Illuminance (% above/below thresholds),0.1,0.1
107,2025-03-15 08:00:00+00:00,Thermal comfort,Temperature (°C),18.288018521052635,100.0
108,2025-03-15 09:00:00+00:00,Acoustics,Sound pressure (dB(A)),45.583333333333336,0.1
