time,field,value
2025-03-15 07:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1292.93537414966
2025-03-15 07:00:00+00:00,Relative humidity (R.H.) (%),62.4600340136054
2025-03-15 07:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 07:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),75.8027210884354
2025-03-15 07:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),66.9030612244898
2025-03-15 07:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 07:00:00+00:00,Temperature (°C),18.3304460183674
2025-03-15 08:00:00+00:00,Sound pressure (dB(A)),41.5
2025-03-15 08:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),5.75324507587988
2025-03-15 08:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1203.69956140351
2025-03-15 08:00:00+00:00,Relative humidity (R.H.) (%),63.5469298245614
2025-03-15 08:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 08:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),51.9605263157895
2025-03-15 08:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),47.75
2025-03-15 08:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 08:00:00+00:00,Temperature (°C),18.2880185210526
2025-03-15 09:00:00+00:00,Sound pressure (dB(A)),45.5833333333333
2025-03-15 09:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),3.17290388548057
2025-03-15 09:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1000.8
2025-03-15 09:00:00+00:00,Relative humidity (R.H.) (%),59.8216666666667
2025-03-15 09:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 09:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),186.566666666667
2025-03-15 09:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),145.05
2025-03-15 09:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 09:00:00+00:00,Temperature (°C),18.1831501
2025-03-15 10:00:00+00:00,Sound pressure (dB(A)),64.6666666666667
2025-03-15 10:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-15 10:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),470.826257861635
2025-03-15 10:00:00+00:00,Relative humidity (R.H.) (%),48.9026729559748
2025-03-15 10:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 10:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),19.5031446540881
2025-03-15 10:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),16.1588050314465
2025-03-15 10:00:00+00:00,Illuminance (% above/below thresholds),19.6428571428571
2025-03-15 10:00:00+00:00,Temperature (°C),17.6201312320755
2025-03-15 11:00:00+00:00,Sound pressure (dB(A)),72.1666666666667
2025-03-15 11:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-15 11:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),455.379385964912
2025-03-15 11:00:00+00:00,Relative humidity (R.H.) (%),42.0767543859649
2025-03-15 11:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 11:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),5.55263157894737
2025-03-15 11:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),4.21929824561404
2025-03-15 11:00:00+00:00,Illuminance (% above/below thresholds),65
2025-03-15 11:00:00+00:00,Temperature (°C),16.5439395736842
2025-03-15 12:00:00+00:00,Sound pressure (dB(A)),68.9166666666667
2025-03-15 12:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-15 12:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),458.741666666667
2025-03-15 12:00:00+00:00,Relative humidity (R.H.) (%),40.3616666666667
2025-03-15 12:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 12:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),60.6416666666667
2025-03-15 12:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),53.0083333333333
2025-03-15 12:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 12:00:00+00:00,Temperature (°C),16.8056501
2025-03-15 13:00:00+00:00,Sound pressure (dB(A)),62.0833333333333
2025-03-15 13:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),18.218609406953
2025-03-15 13:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1369.21666666667
2025-03-15 13:00:00+00:00,Relative humidity (R.H.) (%),46.3491666666667
2025-03-15 13:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 13:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),70.7666666666667
2025-03-15 13:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),66.3333333333333
2025-03-15 13:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 13:00:00+00:00,Temperature (°C),18.2064834333333
2025-03-15 14:00:00+00:00,Sound pressure (dB(A)),66.6666666666667
2025-03-15 14:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-15 14:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),2321.31060606061
2025-03-15 14:00:00+00:00,Relative humidity (R.H.) (%),49.119696969697
2025-03-15 14:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 14:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),34.8712121212121
2025-03-15 14:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),30.2045454545455
2025-03-15 14:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 14:00:00+00:00,Temperature (°C),19.622847069697
2025-03-15 15:00:00+00:00,Sound pressure (dB(A)),64.0833333333333
2025-03-15 15:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-15 15:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),3198.94642857143
2025-03-15 15:00:00+00:00,Relative humidity (R.H.) (%),52.0154761904762
2025-03-15 15:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 15:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),48.3095238095238
2025-03-15 15:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),38.9761904761905
2025-03-15 15:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 15:00:00+00:00,Temperature (°C),20.1263643857143
2025-03-15 16:00:00+00:00,Sound pressure (dB(A)),59.8333333333333
2025-03-15 16:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-15 16:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),4265.61666666667
2025-03-15 16:00:00+00:00,Relative humidity (R.H.) (%),54.27
2025-03-15 16:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 16:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),54.25
2025-03-15 16:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),50.6666666666667
2025-03-15 16:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 16:00:00+00:00,Temperature (°C),20.7564834333333
2025-03-15 17:00:00+00:00,Sound pressure (dB(A)),58.1666666666667
2025-03-15 17:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-15 17:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),4824.3
2025-03-15 17:00:00+00:00,Relative humidity (R.H.) (%),55.2141666666667
2025-03-15 17:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 17:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),53.9166666666667
2025-03-15 17:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),51.75
2025-03-15 17:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 17:00:00+00:00,Temperature (°C),21.4639834333333
2025-03-15 18:00:00+00:00,Sound pressure (dB(A)),60.3333333333333
2025-03-15 18:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-15 18:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),5169.98333333333
2025-03-15 18:00:00+00:00,Relative humidity (R.H.) (%),56.2016666666667
2025-03-15 18:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 18:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),64.1083333333333
2025-03-15 18:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),63.025
2025-03-15 18:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 18:00:00+00:00,Temperature (°C),21.7914834333333
2025-03-15 19:00:00+00:00,Sound pressure (dB(A)),54.1666666666667
2025-03-15 19:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-15 19:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1351.29166666667
2025-03-15 19:00:00+00:00,Relative humidity (R.H.) (%),45.8841666666667
2025-03-15 19:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 19:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),25.075
2025-03-15 19:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),19.5583333333333
2025-03-15 19:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 19:00:00+00:00,Temperature (°C),20.4273167666667
2025-03-15 20:00:00+00:00,Sound pressure (dB(A)),61.25
2025-03-15 20:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-15 20:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),502.733333333333
2025-03-15 20:00:00+00:00,Relative humidity (R.H.) (%),44.9116666666667
2025-03-15 20:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 20:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),25.6833333333333
2025-03-15 20:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),20.2666666666667
2025-03-15 20:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 20:00:00+00:00,Temperature (°C),19.2623167666667
2025-03-15 21:00:00+00:00,Sound pressure (dB(A)),64.1666666666667
2025-03-15 21:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-15 21:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),2052.25
2025-03-15 21:00:00+00:00,Relative humidity (R.H.) (%),53.3775
2025-03-15 21:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 21:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),101.091666666667
2025-03-15 21:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),86.7
2025-03-15 21:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 21:00:00+00:00,Temperature (°C),20.0864834333333
2025-03-15 22:00:00+00:00,Sound pressure (dB(A)),60.4166666666667
2025-03-15 22:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),7.77873210633947
2025-03-15 22:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),4006.58333333333
2025-03-15 22:00:00+00:00,Relative humidity (R.H.) (%),61.0491666666667
2025-03-15 22:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 22:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),174.516666666667
2025-03-15 22:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),151.766666666667
2025-03-15 22:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 22:00:00+00:00,Temperature (°C),21.3348167666667
2025-03-15 23:00:00+00:00,Sound pressure (dB(A)),60.3333333333333
2025-03-15 23:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),6.05922290388548
2025-03-15 23:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),4754.39166666667
2025-03-15 23:00:00+00:00,Relative humidity (R.H.) (%),60.755
2025-03-15 23:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-15 23:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),170.116666666667
2025-03-15 23:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),140.866666666667
2025-03-15 23:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-15 23:00:00+00:00,Temperature (°C),21.9173167666667
2025-03-16 00:00:00+00:00,Sound pressure (dB(A)),52.6666666666667
2025-03-16 00:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),4.97429447852761
2025-03-16 00:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),4637.93333333333
2025-03-16 00:00:00+00:00,Relative humidity (R.H.) (%),58.3616666666667
2025-03-16 00:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-16 00:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),141.716666666667
2025-03-16 00:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),127.433333333333
2025-03-16 00:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-16 00:00:00+00:00,Temperature (°C),21.7610652666667
2025-03-16 01:00:00+00:00,Sound pressure (dB(A)),47.75
2025-03-16 01:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),1.8218609406953
2025-03-16 01:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),3392.59166666667
2025-03-16 01:00:00+00:00,Relative humidity (R.H.) (%),55.2625
2025-03-16 01:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-16 01:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),122.666666666667
2025-03-16 01:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),98.4916666666667
2025-03-16 01:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-16 01:00:00+00:00,Temperature (°C),20.6235652666667
2025-03-16 02:00:00+00:00,Sound pressure (dB(A)),47.0833333333333
2025-03-16 02:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.184233128834356
2025-03-16 02:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),2561.84166666667
2025-03-16 02:00:00+00:00,Relative humidity (R.H.) (%),54.0283333333333
2025-03-16 02:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-16 02:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),81.4916666666667
2025-03-16 02:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),73.6333333333333
2025-03-16 02:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-16 02:00:00+00:00,Temperature (°C),19.9018986
2025-03-16 03:00:00+00:00,Sound pressure (dB(A)),44
2025-03-16 03:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-16 03:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),2003.37542087542
2025-03-16 03:00:00+00:00,Relative humidity (R.H.) (%),53.3698653198653
2025-03-16 03:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-16 03:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),68.6759259259259
2025-03-16 03:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),57.4259259259259
2025-03-16 03:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-16 03:00:00+00:00,Temperature (°C),19.425063583165
2025-03-16 04:00:00+00:00,Sound pressure (dB(A)),41.75
2025-03-16 04:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-16 04:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1760.06666666667
2025-03-16 04:00:00+00:00,Relative humidity (R.H.) (%),53.5116666666667
2025-03-16 04:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-16 04:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),216.566666666667
2025-03-16 04:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),164.933333333333
2025-03-16 04:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-16 04:00:00+00:00,Temperature (°C),19.1252319333333
2025-03-16 05:00:00+00:00,Sound pressure (dB(A)),42.9090909090909
2025-03-16 05:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-16 05:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1497.39393939394
2025-03-16 05:00:00+00:00,Relative humidity (R.H.) (%),52.9730303030303
2025-03-16 05:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-16 05:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),165.783333333333
2025-03-16 05:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),125.933333333333
2025-03-16 05:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-16 05:00:00+00:00,Temperature (°C),18.852201630303
2025-03-16 06:00:00+00:00,Sound pressure (dB(A)),41.25
2025-03-16 06:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-16 06:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1243.13333333333
2025-03-16 06:00:00+00:00,Relative humidity (R.H.) (%),52.4775
2025-03-16 06:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-16 06:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),142.85
2025-03-16 06:00:00+00:00,Fine particulate matter (PM_{2.5}) (µg/m^{3}),112.825
2025-03-16 06:00:00+00:00,Illuminance (% above/below thresholds),0.1
2025-03-16 06:00:00+00:00,Temperature (°C),18.6510652666667
2025-03-16 07:00:00+00:00,Sound pressure (dB(A)),44.3333333333333
2025-03-16 07:00:00+00:00,Formaldehyde (CH_{2}O) (µg/m^{3}),0.1
2025-03-16 07:00:00+00:00,Carbon dioxide (CO_{2}) (ppm),1003.85833333333
2025-03-16 07:00:00+00:00,Relative humidity (R.H.) (%),51.4508333333333
2025-03-16 07:00:00+00:00,Ozone (O_{3}) (µg/m^{3}),0.1
2025-03-16 07:00:00+00:00,Coarse particulate matter (PM_{10}) (µg/m^{3}),181.283333333333
